Uganda,UGA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.591
Ukraine,UKR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.466
Upper middle income,UMC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.83057316305464
Uruguay,URY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.995
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.8
Uzbekistan,UZB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.455
St. Vincent and the Grenadines,VCT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.931
"Venezuela, RB",VEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.317
British Virgin Islands,VGB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Virgin Islands (U.S.),VIR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.09
Vietnam,VNM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.954
Vanuatu,VUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.275
World,WLD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.43901762644049
Samoa,WSM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.976
Kosovo,XKX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.06
"Yemen, Rep.",YEM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.995
South Africa,ZAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.458
Zambia,ZMB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.981
Zimbabwe,ZWE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.76
